id|name|description|thumbnail|price|child_product_ids|tags
p11|DR Who Defending The Earth: The Unit Sourcebook|Front and centre, soldier! You're part of UNIT now, the Unified Intelligence Taskforce. We are the Earth's best defence against the myriad alien forces who would try to subjugate and conquer our planet.<br><br>It's not an easy job, and even those recruited for their scientific knowledge can find themselves on the front lines of combat against almost unstoppable foes. We will protect humanity from extraterrestrial terrors or die trying.<br><br>Defending the Earth is a 160 page full colour sourcebook for the Doctor Who: Adventures in Time and Space roleplaying game. Within, you?ll will find:<br><br>The history of UNIT<br><br>Rules for creating UNIT characters, including new Traits and Areas of Expertise<br><br>Expanded firearms and combat rules, including mass combat and skirmish rules<br><br>Details on major UNIT personnel, including the legendary Brigadier Lethbridge-Stewart<br><br>Two new adventures|../img/rpg14.jpg|49.99|-1|rpgs
p12|Pathfinder Unchained|Get ready to shake up your game! Within these pages, the designers of the Pathfinder Roleplaying Game unleash their wildest ideas, and nothing is safe. From totally revised fundamentals like core classes and monster design to brand-new systems for expanding the way you play, this book offers fresh ideas while still blending with the existing system. With Pathfinder Unchained, you become the game designer!<br><br>Pathfinder Unchained is an indispensable companion to the Pathfinder Roleplaying Game: Core Rulebook. This imaginative tabletop game builds upon more than 15 years of system development and an Open Playtest featuring more than 50,000 gamers to create a cutting-edge RPG experience that brings the all-time best-selling set of fantasy rules into a new era.<br><br>Pathfinder Unchained includes:<br><br>New versions of the barbarian, monk, rogue, and summoner classes, all revised to make them more balanced and easier to play.<br><br>New skill options for both those who want more skills to fill out their characters backgrounds and those seeking streamlined systems for speed and simplicity.<br><br>Changes to how combat works, from a revised action system to an exhaustive list of combat tricks that draw upon your character's stamina.<br><br>Magic items that power up with you throughout your career?and ways to maintain variety while still letting players choose the best magic items.<br><br>Simplified monster creation rules for making new creatures on the fly.<br><br>Exotic material components ready to supercharge your spellcasting.<br><br>New takes on alignment, multiclassing, iterative attacks, wounds, diseases and poisons, and item creation.<br><br>... and much, much more!|../img/rpg15.jpg|67.99|-1|rpgs
p13|Star Trek Attack Wing I.R.W. Jazkal|Star Trek - Attack Wing: I.R.W. Jazkal Expansion Pack is part of the Wave 23 expansion packs from WizKids Games, and this expansion comes with one new ship and a new set of cards for Star Trek: Attack Wing.<br><br>The Jazkal is a 22nd century Romulan bird-of-prey class ship.|../img/aw17.jpg|19.95|-1|miniatures
p14|Star Trek Attack Wing U.S.S. Enterprise|The U.S.S. Enterprise is a Constitution-Class starship. Its 5 year mission to seek out new life and boldly go where no man has gone before has become the stuff of legend in the Alpha Quadrant. The ship?s most famous captain, James T. Kirk, is the only Starfleet cadet to have ever defeated the Kobayashi Maru scenario, a no-win scenario training simulation. Kirk only overcame the scenario by changing the rules, a strategy that would serve him well in the years to come.|../img/aw18.jpg|21.5|-1|miniatures
p15|D&D Attack Wing Ogre Mage|Tales of ogre mages (or oni) have inspired fear in both children and adults throughout Faerun. And among these fearsome creatures, few inspire greater terror than the massive fiend known as Barsh. Filled with dark hunger, Barsh's superior strength allows him to rend his foes with his sharp claws or, when facing foes beyond close range, to wield a long-hafted magic glaive that lashes out with deadly precision.<br><br>An ogre mage's true powers, however, lie in his magical skill. Gifted with the power of enchanted flight, Barsh often takes to the skies, blasting his enemies with a frigid cone of cold or, when outnumbered by strong enemies, escaping their attacks by assuming a gaseous form. If any foes manage to wound him, he can rely on his powers of regeneration to quickly recover. Against the most formidable enemies, however, the ogre mage will put aside mundane weapons in favor of his Wand of the War Mage, a powerful magic item that helps ensure his victory when casting deadly spells.|../img/aw19.jpg|23.95|-1|miniatures
p16|D&D Attack Wing Human Barbarian (Fire Cult) Expansion|Bastian Embers always wanted to live a glorious life, and the Cult of the Eternal Flame has offered him all that and more. Riding into battle on his fast-sprinting fire strider (a beast that shoots fireballs out of its tear ducts!), the hot-tempered barbarian strikes at enemies with his flaming spear, setting warriors and siege weapons alike ablaze as he chortles triumphantly. When surrounded by multiple foes, Bastian summons a magic fire shield that envelops his body in flames, protecting him from cold attacks and burning his attackers each time they strike him.<br><br>Bastian has no difficulty facing his own mortality, knowing that he is sure to die in a blaze of glory. His black armor is fused to his skin, and his heart has been ripped out and replaced with a heart of living flame. When Bastian dies, he knows that his heart will explode, sending splinters of the deadly metal armor flying in all directions to tear into his enemies. In fact, the anticipation of his own explosive end often causes Bastian to attack recklessly, not caring if his enemies wound him during battle, for the fearsome barbarian knows that he will most assuredly have the last laugh.|../img/aw20.jpg|19.5|-1|miniatures
p17|Fidget Spinner Black|Fidget Spinner Standard Black|../img/fidget-spinner-black-thumb-5305-5305.jpg|1|-1|fidget_spinner loot
p18|Fidget Spinner White|Fidget Spinner Standard White|../img/fidget-spinner-white-thumb-5310-5310.jpg|1|-1|fidget_spinner loot
p19|Fidget Spinner Red|Fidget Spinner Standard Red|../img/fidget-spinner-red-thumb-5309-5309.jpg|1|-1|fidget_spinner loot
p20|Fidget Spinner Blue|Fidget Spinner Standard Blue|../img/fidget-spinner-blue-thumb-5308-5308.jpg|1|-1|fidget_spinner loot
p21|Fidget Spinner Green & Red|Fidget Spinner Standard Green & Red|../img/fidget-spinner-green-red-thumb-5307-5307.jpg|1|-1|fidget_spinner loot
p22|Fidget Spinner Yellow|Fidget Spinner Standard Yellow|../img/fidget-spinner-yellow-thumb-5306-5306.jpg|1|-1|fidget_spinner loot
p23|Yu-Gi-Oh! Yuya Starter Deck|Fans of the Yu-Gi-Oh! animated series will be delighted to Duel with cards used and inspired by Yuya, the main protagonist in the newest generation of the Yu-Gi-Oh! manga and animated series, Yu-Gi-Oh! ARC-V. Starter Deck - Yuya is a pre-constructed Deck right out of the box, making it the perfect way for new Duelists to be introduced to the Yu-Gi-Oh! TRADING CARD GAME. With 10 brand-new cards like Performapal Sleight Hand Magician and a new Performapal themed Deck, Starter Deck ? Yuya is an exciting Deck to own for all Duelists!<br><br><br><br>Starter Deck ? Yuya will also be another way for Duelists to obtain popular cards to build out their Deck! Lightning Vortex, Book of Moon, and Pendulum Reborn are just a few of the many unique previously released cards, making an encore appearance in Starter Deck - Yuya!<br><br><br><br>Each Starter Deck - Yuya contains: 35 Commons, 3 Super Rares, 2 Ultra Rares, 3 Token Cards|../img/y30.jpg|13.5|-1|yugioh
p24|Yu-Gi-Oh! Dinomasher's Fury Structure Deck|Technology vs. Tyrannos! Take part in the ultimate battle between man-made monstrosities and the greatest predators nature has ever produced with the Machine Reactor Structure Deck and Dinosmasher?s Fury Structure Deck.<br><br><br><br>The Machine Reactor Structure Deck uses the popular ?Gadget? series of monsters, most recently seen in Movie Pack Gold Edition, to power up gargantuan ?Ancient Gear? monsters. You can add your Gold Gadget and Silver Gadget from the Movie Pack to this Deck to help Summon the new Ancient Gear Gadget ? a monster that belongs to both themes and turns this Deck?s ace monster, Ancient Gear Reactor Dragon, into a 3000 ATK double-attacking, defense-piercing, card destroying behemoth!<br><br><br><br>The Ancient Gear theme first debuted in Yu-Gi-Oh! GX, the animated series that put Fusion Summoning at the forefront, so the Machine Reactor Structure Deck can be enhanced further with ?Ancient Gear? Fusion Monsters from Raging Tempest and an upcoming Spell Card from Maximum Crisis that will let you Fusion Summon and Tribute Summon using the same 2 monsters in the same turn!<br><br><br><br>For those of you who prefer natural history over mankind?s machinations, the Dinosmasher?s Fury Structure Deck provides the ultimate prehistoric Dueling experience! It?s survival of the fittest, and only the strongest cards in your Deck will make it. The rest will be food for the apex predator, Ultimate Conductor Tyranno, a 3500 ATK monster that can send all enemy monsters cowering in fear before devouring them all in a single Battle Phase!<br><br><br><br>This Deck is adept at Summoning multiple Dinosaurs of the same Level at the same time, and most of those monsters are Level 4. That makes this Deck a perfect fit for Xyz Summoning! Duelist Saga and Maximum Crisis both have great Rank 4 Xyz Monsters that are perfect fits for this strategy.<br><br><br><br>Each Structure Deck comes with a 41-card Main Deck and 1 Token Card for a total of 42 cards.<br><br>Each Dinosmasher?s Fury Structure Deck contains:<br><br><br><br>36 Commons<br><br><br><br>3 Super Rares<br><br><br><br>2 Ultra Rares<br><br>1 Jurraegg Token<br><br>1 Beginner?s Guide<br><br>1 Double-sided Deluxe Game Mat/Dueling Guide|../img/y31.jpg|15.95|-1|yugioh
p25|Yu-Gi-Oh! V For Victory Super Starter Deck|Each Starter Deck contains:<br><br>40 Common Cards<br><br>1 Ultra Rare Card<br><br>1 Super Rare Card, <br><br>1 Beginner?s Guide<br><br>1 Game Mat and 2 Power-Up Packs each with 5 cards from a 15-card set|../img/y32.jpg|16.99|-1|yugioh
p26|Magic The Gathering Booster Packs||../img/mtg0.jpg|5.5|p0 p1 p2|card_games mtg
p27|Pokemon Sun & Moon Booster Packs||../img/p4.jpg|5|p3 p4 p5|card_games pokemon
p28|Star Wars Mugs||../img/sw8.jpg|9.99|p6 p7 p8 p9|loot
p29|RPG Campaigns||../img/rpg13.jpg|49.99|p10 p11 p12|rpgs
p30|Attack Wings||../img/aw17.jpg|19.5|p13 p14 p15 p16|miniatures
p31|Gift Vouchers|Purchase a gift voucher for your friends or family here.<br><br>Gift vouchers can be used towards purchases on this website and unused portions of gift vouchers can be used on future purchases.|../img/giftcard.jpg|20|p34 p35 p36|gift_vouchers
p32|Fidget Spinners||../img/fidget-spinner-black-thumb-5305-5305.jpg|1|p17 p18 p19 p20 p21 p22|fidget_spinner loot
p33|Yu-Gi-Oh! Starter Decks||../img/y30.jpg|13.5|p23 p24 p25|yugioh
p34|20$ Gift Voucher|Purchase a gift voucher for your friends or family here.<br><br>Gift vouchers can be used towards purchases on this website and unused portions of gift vouchers can be used on future purchases.|../img/giftcard.jpg|20|-1|gift_vouchers
p35|50$ Gift Voucher|Purchase a gift voucher for your friends or family here.<br><br>Gift vouchers can be used towards purchases on this website and unused portions of gift vouchers can be used on future purchases.|../img/giftcard.jpg|20|-1|gift_vouchers
p36|100$ Gift Voucher|Purchase a gift voucher for your friends or family here.<br><br>Gift vouchers can be used towards purchases on this website and unused portions of gift vouchers can be used on future purchases.|../img/giftcard.jpg|20|-1|gift_vouchers
